Author Surname,Date,Author First name,Title of Work,Publisher,Place of Publication,Format of Work,Copy Payee Surname,Copy Payee First Name,Amount,Sheets,Book Price in Decimal,Gender,Number of Pages,Genre of Work,Payment:Sheet Ratio,Copyright Purchaser Surname,Simplified Author Surname for sorting
Odell,1744,Thomas,"The Prodigal: or, Recruits for the Queen of Hungary","Printed for J. Watts at the Printing-Office in Wild-Court near Lincoln’s-Inn Fields: and sold by B. Dod at the Bible and Key in Ave-Mary-Lane, near Stationers-Hall.",London,8,Odell,Thomas,12.6,3.833333333,0.075,Male,92,Drama--Comedy,3.286956522,Uknown,Odell
Swift,1744,Jonathan,Three Sermons,Printed for R. Dodsley: and sold by M. Cooper.,London,4,Sheridan,Thomas,50,2.666666667,0.075,Male,64,Prose--Religion,18.75,Dodsley,Swift
Whitehead,1744,William,On Nobility,"Printed for R. Dodsley, at Tully’s Head in Pall-Mall; and sold by M. Cooper, at the Globe in Pater-Noster-Row.",London,2,Whitehead,William,10.5,0.666666667,0.05,Male,16,Verse--Epistle,15.75,Dodsley,Whitehead
Cibber,1745,Colley,Papal Tyranny in the Reign of King John,Printed for J. Watts at the Printing-Office in Wild-Court near Lincoln’s-Inn Fields: and sold by B. Dod at the Bible and Key in Ave-Mary-Lane near Stationers-Hall. ,London,8,Cibber,,80,3.5,0.075,Male,84,Drama,22.85714286,Uknown,Cibber
Gelli,1745,Giovanni Battista,Circe,Printed for R. Dodsley at Tully’s Head in Pall-Mall.,London,8,Layng,Henry,10.5,10.66666667,0.2,Male,256,Prose--Criticism/Aesthetics,0.984375,Dodsley,Gelli
Mallet,1747,David,"Amyntor and Theodora, or, The Hermit","Printed for Paul Vaillant, in the Strand.",London,4,Mallett,David,120,4.333333333,0.175,Male,104,Verse,27.69230769,Vaillant,Mallet
Pliny the younger,1747,n/a,The Letters of Pliny the Consul,"Printed for R. Dodsley at Tully’s Head in Pall-Mall, and sold by W. Thurlbourn in Cambridge.",London and Cambridge,8,Melmoth (the younger),William,50,29.16666667,0.4,Male,700,Prose--History,1.714285714,Dodsley,Pliny the younger
Anon,1747,anon,Fortunes Tricks in Forty-Six Fortunes Court of Requests,Printed for M. Cooper at the Globe in Pater-Noster-Row.,London,8,Hatchett,William,8.4,2.333333333,0.05,Male,56,Drama,3.6,Dodsley,
Melmoth (the younger),1748,William,"Letters on Several Subjects By the late Sir Thomas Fitzosborne, Bart. vol 1",Printed for R. Dodsley in Pall-Mall.,London,8,Melmoth (the younger),William,31.5,8.666666667,0.175,Male,208,Prose--History,3.634615385,Dodsley,Melmoth
Cleland,1749,John,Memoirs of a Woman of Pleasure,Printed by Thomas Parker for G. Fenton i.e Ralph Griffiths in the Strand.,London,12,Cleland,John,20,20.16666667,0.15,Male,484,Prose--Fiction,0.991735537,Uknown,Cleland
Melmoth (the younger),1749,William,"Letters on Several Subjects. By the late Sir Thomas Fitzosborne, Bart. To which is added, (Translated by the same Hand) A Dialogue upon Oratory: attributed to Quinctilian. Vol.II.",Printed for R. Dodsley in Pall-Mall.,London,8,Melmoth (the younger),William,100,14.33333333,0.25,Male,344,Prose--History,6.976744186,Dodsley,Melmoth
Brooke,1749,Henry,"The songs in Jack the giant-queller, a ballad farce, acted at the theatre in Dublin.","Dublin, printed: London, reprinted for R. Dodsley, and sold by M. Cooper.",London,8,Griffiths,Ralph?,1.5,1.333333333,0.025,Male,32,Verse,1.125,Dodsley,Brooke
Fielding,1749,Henry,"The History of Tom Jones, a Foundling","Printed for A. Millar, over-against Catharine-Street in the Strand.",London,12,Fielding,Henry,700,78.83333333,0.8,Male,1892,Prose--Fiction,8.8794926,Millar,Fielding
Johnson,1749,Samuel,"The Vanity of Human Wishes. The Tenth Satire of Juvenal, Imitated.","Printed for R. Dodsley at Tully’s Head in Pall-Mall, and sold by M. Cooper in Pater-Noster Row.",London,4,Johnson,Samuel,15.75,1.166666667,0.05,Male,28,Verse,13.5,Dodsley,Johnson
Johnson,1749,Samuel,Mahomet and Irene,Printed for R. Dodsley at Tully’s-Head Pall-Mall and sold by M. Cooper in Pater-Noster-Row.,London,8,Johnson,Samuel,100,4,0.075,Male,96,Drama--Tragedy,25,Dodsley,Johnson
Le Dran,1749,Henri-Francois,Operations in Surgery,"Printed for C. Hitch in Pater-Noster-Row, and R. Dodsley, in Pall-Mall.",London,8,Gataker,Thomas,63,21.08333333,0.25,Male,506,Prose--Medical,2.988142292,Dodsley,Le Dran
Arne,1750,Thomas Augustine,Don Saverio,Printed by and for J. Watts; and sold by him at the Printing-Office in Wild-Court near Lincoln’s-Inn-Fields.,London,4,Arne,Thomas Augustine,5.25,0.833333333,0.05,Male,20,Drama--Musical,6.3,Uknown,Arne
Cheselden,1750,William,"The anatomy of the humane body, 7th edn",Printed for C: Hitch & R: Dodsley,London,8,Cheselden,William,200,14.91666667,0.3,Male,358,Prose--Medical,13.40782123,Dodsley,Cheselden
Cibber,1750,Colley,"An Apology for the Life of Mr. Colley Cibber, 3rd edn",Printed for R. Dodsley,London,8,Cibber,Colley,52.5,24.16666667,0.3,Male,580,Prose--History,2.172413793,Dodsley,Cibber
Kimber,1750,Edward,The Life and Adventures of Joe Thompson. A Narrative Founded on Fact. Written by Himself.,"Printed for John Hinton, at the King's Arms in St. Paul's C.hurch-Yard; and W. Frederick, Bookseller in Bath.",London and Bath,12,Kimber,Edward,31.5,29,0.15,Male,696,Prose--Fiction,1.086206897,Uknown,Kimber
Muilman,1750,Teresia Constantia,A Letter Humbly Address'd to the Right Honourable the Earl of Chesterfield.,"Printed for the author; and sold at her house in White-Hart-Street, Queen-Square.",London,8,Lodwix,Mary,3.15,1.916666667,0.05,Female,46,Prose--Satire,1.643478261,Uknown,Muilman
Whitehead,1750,William,The Roman Father,"Printed for R. Dodsley at Tully’s-Head, Pall-Mall; and sold by M. Cooper in Pater-Noster-Row.",London,8,Whitehead,William,100,3.833333333,0.075,Male,92,Drama--Tragedy,26.08695652,Uknown,Whitehead
Cotton (the elder),1751,Nathaniel,Visions in Verse: For the Entertainment and Instruction of Younger Minds.,"Printed for R. Dodsley in Pall-Mall; and sold by M. Cooper, at the Globe in Pater-Noster-Row.",London,8,Cotton (the elder),Nathaniel,50,4.333333333,0.075,Male,104,Verse,11.53846154,Dodsley,Cotton
Coventry,1751,Francis,"The History of Pompey the Little: or, the Life and Adventures of a Lap-Dog.","Printed for M. Cooper, at the Globe in Paternoster Row.",London,12,Coventry,Francis,52.5,11.66666667,0.15,Male,280,Prose--Fiction,4.5,Dodsley,Coventry
Fielding,1751,Henry,Amelia,"Printed for A. Millar, in the Strand. ",London,12,Fielding,Henry,1050,50,0.6,Male,1200,Prose--Fiction,21,Uknown,Fielding
Paltock,1751,Robert,"The Life and Adventures of Peter Wilkins, a Cornish Man","Printed for J. Robinson, at the Golden Lion, in Ludgate-Street; and R. Dodsley, at Tully’s Head, in Pall-Mall. ",London,12,Paltock,Robert,24.6,26.25,0.3,Male,630,Prose--Fiction,0.937142857,Dodsley,Paltock
Smollett,1751,Tobias George,"The Adventures of Peregrine Pickle. In Which are Included, Memoirs of a Lady of Quality.","Printed for the author: and sold by D. Wilson, at Plato's Head, near Round-Court, in the Strand.",London,12,Smollett,Tobias George,400,52.41666667,0.6,Male,1258,Prose--Fiction,7.631160572,Strahan,Smollett
Cibber,1752,Susanna Maria Arne,The Oracle,"Printed for R. Dodsley, in Pall-Mall; and sold by M. Cooper, in Pater-Noster-Row; and W. Reeve, in Fleet-Street. ",London,8,Cibber,Susanna Maria Arne,31.5,2.166666667,0.05,Female,52,Drama--Comedy,14.53846154,Dodsley,Cibber
Fordyce,1752,David,"Theodorus: or, Dialogue on the Art of Preaching",Printed for R. Dodsley.,London,12,Fordyce,William,29.25,10,0.15,Male,240,Prose--Religion,2.925,Dodsley,Fordyce
Fordyce,1753,James,An Essay on the Action Proper for the Pulpit,Printed for R. and J. Dodsley.,London,8,Fordyce,James,5.25,3.666666667,0.075,Male,88,Prose--Religion,1.431818182,Dodsley,Fordyce
Baker,1753,Henry,Employment of the Microscope,"Printed for R. Dodsley, at Tully’s-Head in Pall-Mall: and sold by M. Cooper in Pater Noster-Row; and J. Cuff, Optician in Fleet-Street.",London,8,Baker,Henry,88,19.41666667,0.3,Male,466,Prose--Science,4.532188841,Dodsley,Baker
Blackwell,1753,Thomas,Memoirs of the Court of Augustus,"Printed by Hamilton, Balfour and Neill.",Edinburgh,4,Blackwell,Thomas,500,35.5,3.15,Male,852,Prose--History,14.08450704,Dodsley,Blackwell
Caesar,1753,Julius,The Commentaries of Caesar,"Printed for J. and R. Tonson and S. Draper in the Strand, and R. Dodsley in Pall-Mall.",London,2,Duncan,William,185.85,19.66666667,3.15,Male,472,Prose--History,9.45,Dodsley,Caesar
Cicero,1753,n/a,The Letters of Marcus Tullius Cicero to Several of his Friends,Printed for R. Dodsley.,London,8,Melmoth (the younger),William,600,56.5,0.75,Male,1356,Prose--History,10.61946903,Dodsley,Cicero
Clive,1753,Catherine,"The Rehearsal: or, Bays in Petticoats",Printed for R. Dodsley.,London,8,Clive,Catherine,21,1.833333333,0.05,Female,44,Drama,11.45454545,Dodsley,Clive
Hay,1753,William,"Religio Philosophi: or, The Principles of Morality and Christianity",Printed for R. Dodsley.,London,8,Hay,William,100,10,0.2,Male,240,Prose--Religion,10,Dodsley,Hay
Jones,1753,Henry,The Earl of Essex,Printed for R. Dodsley in Pall-Mall.,London,8,Jones,Henry,100,3,0.075,Male,72,Drama--Tragedy,33.33333333,Dodsley,Jones
Smollett,1753,Tobias George,The Adventures of Ferdinand Count Fathom.,"Printed for W. Johnston, at the Golden Ball, in St. Paul’s Church-yard.",London,12,Smollett,Tobias George,120,24.5,0.3,Male,588,Prose--Fiction,4.897959184,Uknown,Smollett
Virgil,1753,n/a,"The Works of Virgil, in Latin and English... The Aeneid Translated by... Christopher Pitt. The Eclogues and Georgics, with notes... by... Joseph Warton",Printed for R. Dodsley.,London,8,Warton,Joseph,221,76,1,Male,1824,Verse--Epic Poem,2.907894737,Dodsley,Virgil
Young,1753,Edward,The Brothers,Printed for R. Dodsley in Pall-Mall.,London,8,Young,Edward,147,3.75,0.075,Male,90,Drama--Tragedy,39.2,Dodsley,Young
Cooper,1754,John Gilbert,Letters Concerning Taste,Printed for R. and J. Dodsley in Pall-Mall.,London,8,Cooper,John Gilbert,20,6.583333333,0.15,Male,158,Prose--Criticism/Aesthetics,3.037974684,Dodsley,Cooper
Fielding,1754,Sarah,The Cry,Printed for R. and J. Dodsley in Pall-Mall.,London,12,Fielding,Sarah,52.5,39.08333333,0.45,Female,938,Prose--Fiction,1.343283582,Dodsley,Fielding
de la Place,1754,Pierre Antoine,La Laideur Aimable et les Dangers de la Beaute (1752).,"Printed for R. and J. Dodsley, in Pall-Mall.",London,12,Montagu,Barbara,7.35,11.5,0.15,Male,276,Prose--Fiction,0.639130435,Dodsley,de la Place
Hume,1754,David,The history of Great Britain. Vol.I. Containing the reigns of James I. and Charles I.,"Printed by Hamilton, Balfour, and Neill.",Edinburgh,4,Hume,David,400,20,0.7,Male,480,Prose--History,20,Uknown,Hume
Morgan,1754,MacNamara,Philoclea,Printed for R. and J. Dodsley in Pall-Mall. And sold by M. Cooper in Pater-Noster-Row.,London,8,Morgan,MacNamara,100,3.333333333,0.075,Male,80,Drama--Tragedy,30,Dodsley,Morgan
Whitehead,1754,William,"Creusa, Queen of Athens",Printed for R. and J. Dodsley; and sold by M. Cooper.,London,8,Whitehead,William,105,3.666666667,0.075,Male,88,Drama--Tragedy,28.63636364,Dodsley,Whitehead
Collet,1755,John,"Chit-Chat: or, Natural Characters","Printed for R. and J. Dodsley, at Tully’s Head, in Pall-Mall.",London,12,Collet,John,21,19.08333333,0.25,Male,458,Prose--Fiction,1.100436681,Dodsley,Collet
Johnson,1755,Samuel,A Dictionary of the English Language,"Printed by W. Strahan, for J. and P. Knapton; T. and T. Longman; C. Hitch and L. Hawes; A. Millar; and R. and J. Dodsley.",London,2,Johnson,Samuel,1575,96.66666667,4.5,Male,2320,Prose--Reference,16.29310345,Dodsley,Johnson
Kimber,1755,Edward,"The Life and Adventures of James Ramble, Esq; Interspersed, with the Various Fortunes of Certain Noble Personages Deeply Concerned in the Northern Commotions in the Year 1715. From his Own Manuscript.","Printed for R. Baldwin, in Pater-Noster-Row.",London,12,Kimber,Edward,31.1,25.58333333,0.3,Male,614,Prose--Fiction,1.215635179,Uknown,Kimber
Martial,1755,n/a,Select Epigrams,Printed for R. and J. Dodsley.,London,12,Hay,William,60,11.66666667,0.15,Male,280,Verse,5.142857143,Dodsley,Martial
Spence,1755,Joseph,Polymetis,"Printed for R. and J. Dodsley, in Pall-Mall.",London,2,Spence,Joseph,200,15.33333333,2.625,Male,368,Prose--History,13.04347826,Dodsley,Spence
Young,1755,Edward,The Centaur Not Fabulous,Printed for A. Millar; and R. and J. Dodsley.,London,8,Young,Edwards,200,12.41666667,0.25,Male,298,Prose--Satire,16.10738255,Dodsley,Young
Burke,1756,Edmund,"A Vindication of Natural Society:  or, A View of the Miseries and Evils Arising to Mankind from Every Species of Artificial Society.  In a Letter to Lord ****   By a late Noble Writer.",Printed for M. Cooper in Pater-Noster-Row.,London,8,Burke,Edmund,6.3,4.583333333,0.075,Male,110,Prose--Politics,1.374545455,Dodsley,Burke
Ferguson,1756,James,Astronomy Explained upon Sir Isaac Newton’s principles,"Printed for, and sold by the author, at the Globe, opposite Cecil-Street in the Strand.",London,8,Ferguson,James,300,11.83333333,0.75,Male,284,Prose--Science,25.35211268,Uknown,Ferguson
Murphy,1756,Arthur,The apprentice,"Printed for Paul Vaillant, facing Southampton-Street, in the Strand; Printed for P. Vaillant.",London,8,Murphy,Arthur,40,2.333333333,0.05,Male,56,Drama--Afterpiece,17.14285714,Uknown,Murphy
Polybius,1756,n/a,The General History of Polybius,"Printed by J. Hughs, for R. and J. Dodsley in Pall-Mall.",London,4,Hampton,James,262.5,24.5,1.05,Male,588,Prose--History,10.71428571,Dodsley,Polybius
Anon,1756,Anon,A compendium of authentic and entertaining voyages,Printed for R. and J. Dodsley; Jo. Rivington; Ja. Rivington and J. Fletcher; W. Johnston; W. Strahan; and T. Jefferys.,London,12,Smollett,Tobias,144.7,91.875,1.05,Male,2205,Prose--Travel,1.574965986,Dodsley,
Burke,1757,Edmund,A Philopsophical Enquiry into the Origin of Our Ideas of the Sublime and Beautiful,"Printed for R. and J. Dodsley, in Pall-Mall.",London,8,Burke,,21,8.333333333,0.15,Male,200,Prose--Criticism/Aesthetics,2.52,Dodsley,Burke
Burke,1757,William,An Account of the European Settlements in America,Printed for R. and J. Dodsley in Pall-Mall.,London,8,Burke,William,50,26.83333333,0.4,Male,644,Prose--History,1.863354037,Dodsley,Burke
Gray,1757,Thomas,Odes (“Progress of Poetry” and “The Bard”),"Printed at Strawberry-Hill, for R. and J. Dodsley.",London,4,Gray,Thomas,42,0.916666667,0.05,Male,22,Verse,45.81818182,Dodsley,Gray
Hume,1757,David,"The History of Great Britain. Vol. II. Containing the Commonwealth, and the reigns of Charles II. and James II.","Printed for A. Millar, opposite Catharine-Street, in the Strand.",London,4,Hume,David,700,19.5,0.65,Male,468,Prose--History,35.8974359,Millar,Hume
Murphy ,1758,Arthur,"The upholsterer: or, what news?","Printed for P. Vaillant, facing Southampton-Street, in the Strand.",London,8,Murphy,Arthur,42,2.5,0.05,Male,60,Drama--Afterpiece,16.8,Uknown,Murphy 
Young,1758,Arthur,The Theatre of the Present War in North America,"Printed for J. Coote, at the King’s-Arms, opposite Devereux-Court, in the Strand.",London,8,Young,Arthur,10,2.833333333,0.075,Male,68,Prose--History,3.529411765,Coote,Young
Hume,1759,David,"The history of England, under the House of Tudor. Comprehending the reigns of K. Henry VII. K. Henry VIII. K Edward VI. Q. Mary, and Q. Elizabeth.","Printed for A. Millar, in the Strand.",London,4,Hume,David,1400,31.16666667,1.05,Male,748,Prose--History,44.9197861,Millar,Hume
Johnson,1759,Samuel,Rasselas The Prince of Abissinia,"Printed for R. and J. Dodsley, in Pall-Mall; and W. Johnston, in Ludgate-Street.",London,8,Johnson,Samuel,75,14.08333333,0.25,Male,338,Prose--Fiction,5.325443787,Dodsley,Johnson
Murphy,1759,Arthur,The Orphan of China,"Printed for P. Vaillant, opposite Southampton-Street, in the Strand.",London,8,Murphy,Arthur,105,4.333333333,0.075,Male,104,Drama--Tragedy,24.23076923,Vaillant,Murphy
Sterne,1760,Laurence,"The Life and Opinions of Tristram Shandy, Gentleman.",Printed by Ann Ward,York,8,Sterne,Laurence,250,15.33333333,0.25,Male,368,Prose--Fiction,16.30434783,Dodsley,Sterne
Murphy,1760,Arthur,Desert Island,"Printed for Paul Vaillant, facing Southampton-Street, in the Strand.",London,8,Murphy,Arthur,52.5,2.666666667,0.075,Male,64,Drama--Dramatic Poem,19.6875,Uknown,Murphy
Murphy,1760,Arthur,The Way to Keep Him,"Printed for P. Vaillant, opposite Southampton-Street in the Strand.",London,8,Murphy,Arthur,52.5,3.75,0.075,Male,90,Drama--Comedy,14,Vaillant,Murphy
Percy,1761,Thomas,Hau Kiou Choaan: or The Pleasing History,Printed for R. and J. Dodsley.,London,8,Percy,Thomas,60.5,46.41666667,0.4,Male,1114,Prose--History,1.303411131,Dodsley,Percy
Sterne,1761,Laurence,"The Life and Opinions of Tristram Shandy, Gentleman.",Printed for R. and J. Dodsley in Pall-Mall.,London,8,Sterne,Laurence,380,17.5,0.25,Male,420,Prose--Fiction,21.71428571,Dodsley,Sterne
Arne composer,1761,Thomas Augustine,Artaxerxes,Printed for J. and R. Tonson in the Strand.,London,8,Arne,Thomas Augustine,52.5,2,0.05,Male,48,Drama--English Opera,26.25,Tonson,Arne
Murphy,1761,Arthur,The old maid,"Printed for P. Vaillant, facing Southampton-Street in the Strand.",London,8,Murphy,Arthur,42,2.5,0.05,Male,60,Drama--Afterpiece,16.8,Uknown,Murphy
Murphy,1761,Arthur,All in the Wrong,"Printed for P. Vaillant, facing Southampton-Street in the Strand.",London,8,Murphy,Arthur,105,4.666666667,0.075,Male,112,Drama--Comedy,22.5,Vaillant,Murphy
Burke,1762,Edmund,"The Annual Register: or, The History of the Present War","London: printed for R. and J. Dodsley; and, Dublin: re-printed by John Exshaw, in Dame-Street",London and Dublin,8,Burke,Edmund,100,11,0.3,Male,264,Prose--Periodical,9.090909091,Dodsley,Burke
Goldsmith,1762,Oliver,"The Life of Richard Nash, Esq., Late Master of the Ceremonies at Bath, Extracted Principally from his Original Papers","Printed for J. Newbery, in St. Paul's Church-Yard; and W. Frederick, at Bath.",London and Bath,8,Goldsmith,Oliver,14.7,10.25,0.2,Male,246,Prose--History,1.434146341,Newbery,Goldsmith
Lowth,1762,Robert,A Short Introduction to English Grammar,Printed by J. Hughs; for A. Millar in the Strand; and R. and J. Dodsley in Pall-Mall.,London,8,Lowth,Robert,100,8.666666667,0.15,Male,208,Prose--Reference,11.53846154,Dodsley,Lowth
Whitehead,1762,William,The School for Lovers,"Printed for R. and J. Dodsley in Pall-Mall; and sold by J. Hinxman, in Pater-Noster-Row. ",London,8,Whitehead,William,105,4,0.075,Male,96,Drama--Comedy,26.25,Uknown,Whitehead
Percy,1763,Thomas,Five Pieces of Runic Poetry,"Printed for R. and J. Dodsley, in Pall-Mall.",London,8,Percy,Thomas,10.5,4.833333333,0.075,Male,116,Verse,2.172413793,Dodsley,Percy
Gibbes,1764,Phebe Phoebe,The Life and Adventures of Mr. Francis Clive,Printed for T. Lownds.,London,8,Gibbes,Phebe,5.25,19,0.25,Female,456,Prose--Fiction,0.27631579,Uknown,Gibbes
Purver,1764,Anthony,A new and literal translation of all the books of the Old and New Testament,Printed by W. Richardson and S. Clark: and sold by William Johnston in Ludgate-Street.,London,2,Purver,Anthony,1000,61.66666667,4,Male,1480,Prose--Religion,16.21621622,Fothergill,Purver
Reid,1764,Thomas,An Inquiry into the Human Mind,"Printed for A. Millar, London, and A. Kincaid & J. Bell, Edinburgh.",London and Edinburgh,8,Reid,Thomas,50,23.25,0.25,Male,558,Prose--Philosophy,2.150537634,Uknown,Reid
Cumberland,1765,Richard,The Summer’s Tale,"Printed for J. Dodsley, in Pall-Mall; W. Johnston, in Ludgate-Street; and J. Walter, at Charing-Cross. ",London,8,Cumberland,Richard,150,4,0.075,Male,96,Drama--Musical Comedy,37.5,Dodsley,Cumberland
Percy,1765,Thomas,Reliques of Ancient English Poetry,"Printed for R. and J. Dodsley, in Pall-Mall.",London,8,Percy,Thomas,105,47.5,0.3,Male,1140,Verse,2.210526316,Dodsley,Percy
Blackstone,1765,William,Commentaries on the Laws of England,Printed at the Clarendon Press.,Oxford,4,Blackstone,William,3290.775,84.58333333,3.6,Male,2030,Prose--Law,38.90571429,Strahan,Blackstone
Phædrus,1765,n/a,A poetical translation of the Fables of Phaedrus,"Printed for J. Dodsley in Pall-Mall: and sold by J. Wilkie in St. Paul’s Church-Yard, and T. Merrill at Cambridge.",London and Cambridge,12,Smart,Christopher,10.5,12.75,0.15,Male,306,Verse,0.823529412,Dodsley,Phædrus
Anstey,1766,Christopher,"The New Bath Guide: or, memoirs of the B-r-d family","Sold by J. Dodsley; J. Wilson & J. Fell; and J. Almon, London; W. Frederick, at Bath; W. Jackson, at Oxford; T. Fletcher & F. Hodson, at Cambridge; W. Smith, at Dublin; and the booksellers of Bristol, York, and Edinburgh.","London, Bath, Oxford, Cambridge, Dublin, Bristol, York, and Edinburgh",4,Anstey,Christopher,250,4.333333333,0.25,Male,104,Verse,57.69230769,Uknown,Anstey
Goldsmith,1766,Oliver,The Vicar of Wakefield,"Salisbury: printed by B. Collins, for F. Newbery in London",Salisbury and London,12,Goldsmith,Oliver,60,17.66666667,0.25,Male,424,Prose--Fiction,3.396226415,Uknown,Goldsmith
Kimber,1766,Edward,The Peerage of Great Britain England,"Printed for H. Woodfall, J. Fuller, G. Woodfall, R. Baldwin, W. Johnston, B. Law, T. Longman, T. Lowndes, J. Wilkie, J. Johnson and Co. W. Bathoe, Z. Stuart, W. Nicoll, E. Johnson, and J. Almon.",London,12,Kimber,Edward,10.5,12.33333333,0.15,Male,296,Prose--History,0.851351351,Uknown,Kimber
Kimber,1767,Edward,The Peerage of Scotland,"Printed for J. Almon, opposite Burlington-House in Piccadilly; T. Cadell, in the Strand; R. Baldwin, S. Crowder, Robinson and Roberts, S. Bladon, and Johnson and Davenport, in Pater-Noster-Row.",London,8,Kimber,Edward,14.7,14.33333333,0.15,Male,344,Prose--History,1.025581395,Uknown,Kimber
Brownsmith,1767,John,"The Dramatic Time-Piece: or, Perpetual Monitor","Printed for J. Almon, in Piccadilly; T. Davies, in Russel-Street; and J. Hingeston, near Temple-Bar.",London,8,Brownsmith,John,5.25,3.5,0.05,Male,84,Prose--Criticism/Aesthetics,1.5,Uknown,Brownsmith
English,1767,Thomas,"Annual Register for 1766: or, A View of the History, Politicks, and Literature for the Year 1766.",Printed for J. Dodsley in Pall-Mall.,London,8,English,Thomas,140,23.66666667,0.275,Male,568,Prose--Periodical,5.915492958,Dodsley,English
Ferguson,1767,Adam,An Essay on the History of Civil Society,"Printed for A. Millar & T. Caddel in the Strand, London, and A. Kincaid & J. Bell, Edinburgh.",London and Edinburgh,4,Ferguson,Adam,200,18.25,0.3,Male,438,Prose--Politics,10.95890411,Uknown,Ferguson
Steuart,1767,"James, Sir",An Inquiry into the Principles of Political Oeconomy,"Printed for A. Millar, and T. Cadell.",London,4,Steuart,"James, Sir",500,56,2.1,Male,1344,Prose--Politics,8.928571429,Uknown,Steuart
Kimber,1768,Edward,The Peerage of Ireland,"Printed for J. Almon, opposite Burlington-House in Piccadilly; T. Cadell, in the Strand; R. Baldwin, S. Crowder, Robinson and Roberts, S. Bladon, and Johnson and Davenport, in Pater-Noster Row.",London,8,Kimber,Edward,15.75,18.83333333,0.15,Male,452,Prose--Reference,0.836283186,Uknown,Kimber
Murphy,1768,Arthur,Zenobia,"Printed for W. Griffin, in Catharine-Street, Strand.",London,8,Murphy,Arthur,105,3.833333333,0.075,Male,92,Drama--Tragedy,27.39130435,Uknown,Murphy
Buchan,1769,William,"Domestic Medicine: or, The Family Physician","Printed by Balfour, Auld, and Smellie.",Edinburgh,8,Buchan,William,500,26.66666667,0.25,Male,640,Prose--Medical,18.75,Uknown,Buchan
Granger,1769,James,The Biographical History of England,Printed for T. Davies.,London,4,Granger,James,50,51.41666667,2.1,Male,1234,Prose--History,0.972447326,Uknown,Granger
Raffald née Whitaker,1769,Elizabeth,"The Experienced English housekeeper, for the use and ease of ladies, housekeepers, cooks, &c., wrote purely from practice … consisting of near 800 original receipts","Printed by J. Harrop, for the author, and sold by Messrs. Fletcher and Anderson, in St. Paul’s Church-Yard, London; and by Eliz. Raffald, Confectioner, near the Exchange, Manchester, 1769. The Book to be signed by the Author’s own Hand-Writing, and entered at Stationers Hall.",London and Manchester,8,Raffald,Elizabeth,1400,15.91666667,0.3,Female,382,Prose--Reference,87.95811518,Uknown,Raffald
Robertson,1769,William,The History of the Reign of the Emperor Charles V.,"Printed by W. and W. Strahan, for W. Strahan; T. Cadell; and J. Balfour, Edinburgh.",London,4,Robertson,William,3400,58.41666667,2.625,Male,1402,Prose--History,58.20256776,Uknown,Robertson
Dawe,1770,Anne,The Younger Sister,"Printed for T. Lowndes, at No. 77, Fleet-Street.",London,12,Dawe,Anne,21,19.58333333,0.25,Female,470,Prose--Fiction,1.072340426,Lowndes,Dawe
Beattie,1770,James,An Essay on the Nature and Immutability of Truth,"Printed for A. Kincaid & J. Bell. Sold, at London, by E. & C. Dilly, in the Poultry.",Edinburgh and London,8,Beattie,James,105,21.33333333,0.3,Male,512,Prose--Philosophy,4.921875,Uknown,Beattie
Mackenzie,1771,Henry,The Man of Feeling,"Printed for T. Cadell, in the Strand.",London,12,Mackenzie,Henry,52.5,11.5,0.15,Male,276,Prose--Fiction,4.565217391,Uknown,Mackenzie
Cumberland,1771,Richard,The West Indian,"Printed for W. Griffin, at Garrick’s Head, in Catharine-Street, Strand.",London,8,Cumberland,Richard,150,4.666666667,0.075,Male,112,Drama--Comedy,32.14285714,Uknown,Cumberland
Henry,1771,Robert,The History of Great Britain,"Printed for the author, and sold by T. Cadell in the Strand.",London,4,Henry,Robert,1000,163.25,5.25,Male,3918,Prose--History,6.125574273,Uknown,Henry
Millar,1771,John,Observations Concerning the Distinction of Ranks,"Printed by W. and J. Richardson, for John Murray, No 32, Fleet-Street, Opposite St. Dunstan’s Church.",London,4,Millar,John,105,11.08333333,0.45,Male,266,Prose--Politics,9.473684211,Uknown,Millar
Smollett,1771,Tobias George,The Expedition of Humphry Clinker,"Printed for W. Johnston, in Ludgate-Street; and B. Collins, in Salisbury.",London and Salisbury,12,Smollett,Tobias George,210,32.91666667,0.45,Male,790,Prose--Fiction,6.379746835,Uknown,Smollett
Briscoe,1772,Sophia,"The Fine Lady: or, History of Mrs Montague","Printed for T. Lowndes, No. 77, in Fleet-Street.",London,12,Briscoe,Sophia,21,22.41666667,0.25,Female,538,Prose--Fiction,0.936802974,Lowndes,Briscoe
Mercier,1772,Louis-Sébastien,Memoirs of the Year Two Thousand Five Hundred,"Printed for G. Robinson, in Pater-Noster-Row.",London,12,Hooper,William,28.875,20.5,0.25,Male,492,Prose--Fiction,1.408536585,Robinson,Mercier 
Murphy,1772,Arthur,The Grecian Daughter,"Printed for W. Griffin, at Garrick’s Head, in Catharine-Street, Strand.",London,8,Murphy,Arthur,105,3.5,0.075,Male,84,Drama--Tragedy,30,Uknown,Murphy
Chapone (née Mulso),1773,Hester,"Letters on the Improvement of the Mind, Addressed to a Young Lady","Printed by H. Hughs, for J. Walter, Homer’s Head, Charing-Cross.",London,8,Chapone,Hester,50,18.41666667,0.3,Female,442,Prose--History,2.714932127,Uknown,Chapone
